provider_id,provider_name,lat,lng,radius_km,city,country_code
36454,Sushi Family Робоча 162К,48.44768,35.00035,3.0,Dnipro,ua
52319,Панда їсть бамбук Урлівська,50.40728,30.61828,9.0,Kyiv,ua
102001,Панда їсть бамбук Ірпінь,50.518843,30.212859,3.0,Irpin,ua
139758,Піца - «Серце» ❤️,50.443885,30.495862,3.0,Kyiv,ua
166304,"Шавєрма, брат вул. Короленка",49.237731,28.507642,3.0,Vinnytsia,ua
48586,Sushi Master Соборна,49.23343,28.467572,3.0,Vinnytsia,ua
57745,WeSushi Васильківська,50.38211,30.47619,3.0,Kyiv,ua
96857,ТЕРІЯКИ ХАУС,50.443621,30.496194,3.0,Kyiv,ua
136126,Рання пташка на Лаврухіна,50.516319,30.602143,3.0,Kyiv,ua
173925,Burgerone Глибочицька,50.462807,30.488402,4.0,Kyiv,ua
48232,Sushi Master просп. Голосіївський,50.403133,30.516669,3.0,Kyiv,ua
48456,Sushi Master Шалімова,50.406852,30.33909,3.0,Kyiv,ua
84059,Chick'n'Rice,50.508585,30.793902,3.0,Brovary,ua
154286,EatSushi Велика Перспективна,48.517766,32.273683,3.0,Kropyvnytskyi,ua
188447,Sushi Master вул. Князів Коріатовичів,48.677934,26.590101,3.0,Kamianets-Podilskyi,ua
192614,Betania вул. Галицький шлях,48.322207,25.905308,3.0,Chernivtsi,ua
193809,Mitte | Княгині Ольги,49.81864,24.0034,3.0,Lviv,ua
109501,Remeslo brewery вул. Почайнинська,50.474099,30.513106,3.0,Kyiv,ua
122167,NUNU гамбургерна на Оболоні,50.51153,30.50248,3.0,Kyiv,ua
58126,Remeslo Brewery Лятошинського,50.378621,30.449153,3.0,Kyiv,ua
59351,WeSushi Бойчука,50.41816,30.54941,3.0,Kyiv,ua
59385,WeSushi Вишневе,50.382449,30.384425,3.0,Kyiv,ua
101346,Сицилія,50.623075,26.251571,3.0,Rivne,ua
119300,чілміл на Максимовича,50.3919,30.46806,3.0,Kyiv,ua
136374,Рання пташка на Максимовича,50.3919,30.46806,3.0,Kyiv,ua
173948,Піца-Крила Велика Васильківська,50.422891,30.5189,4.0,Kyiv,ua
190937,LaRa,49.421482,26.980837,3.0,Khmelnytskyi,ua
20729,The Salad вул. Жилянська,50.443133,30.494885,3.0,Kyiv,ua
27007,Mafia Володимира Мономаха,48.466364,35.045624,3.0,Dnipro,ua
50934,Streets Просп. Червоної Калини,50.508583,30.607073,9.0,Kyiv,ua
103744,Шаурмішка просп. Космонавтів,49.223331,28.419922,3.0,Vinnytsia,ua
154263,EatSushi ТЦ Оазис,50.52319,30.49883,3.0,Kyiv,ua
155200,Remeslo Brewery Космічна,50.015635,36.221147,3.0,Kharkiv,ua
70901,Бендерики Івасюка,50.50914,30.513,3.0,Kyiv,ua
164047,“НЯМ by VARUS.UA” вул. Івана Миколайчука,50.434638,30.606511,3.0,Kyiv,ua
86253,PRIDE,50.44271,30.51965,3.0,Kyiv,ua
103517,Sushi Master вул. Небесної Сотні,48.26153,25.940712,3.0,Chernivtsi,ua
118952,ШАУРМАМА просп. Оболонський,50.512969,30.497274,3.0,Kyiv,ua
154282,EatSushi Чарівна,47.838646,35.218702,3.0,Zaporizhia,ua
169049,Me Gusta,49.224497,28.401383,3.0,Vinnytsia,ua
179058,Рівʼєра,48.01207,33.47508,3.0,Kryvyi Rih,ua
21519,Shanhayskiy kit/Шанхайський Кіт Васильківська,50.39381,30.49071,3.0,Kyiv,ua
136129,Рання пташка на Січових Стрільців,50.4561,30.49682,3.0,Kyiv,ua
154145,Don Peperon Мацієвича,50.42835,30.46,3.0,Kyiv,ua
162760,Cucina della Mamma Урлівська,50.407277,30.619797,3.0,Kyiv,ua
168775,Сімейна піца/ Сімейна  Пекарня вул. Широка,49.841556,23.9702,3.0,Lviv,ua
10177,Lviv Croissants Майдан,50.45112,30.52256,3.0,Kyiv,ua
48540,Sushi Master Тітова,48.429847,35.010677,3.0,Dnipro,ua
70897,Бендерики Ревуцького,50.408825,30.646639,3.0,Kyiv,ua
78560,"Київська шаурма №1 Радужна, 6",50.491859,30.5837,3.0,Kyiv,ua
155737,Київська шаурма №1 Данила Щербаківського 2,50.459456,30.406318,3.0,Kyiv,ua
173052,Salateira Михайла Гришка,50.396049,30.632102,3.0,Kyiv,ua
51929,Вічнозелені Яворницького,48.46434,35.0446,9.0,Dnipro,ua
82751,Nunu Княжий Затон,50.40251,30.62646,3.0,Kyiv,ua
98358,Bella Pizza,50.443905,30.495863,3.0,Kyiv,ua
59397,WeSushi Тітова,48.429847,35.010677,3.0,Dnipro,ua
67247,Pizza Bella Napoli Хрещатик,50.4522,30.526301,3.0,Kyiv,ua
79105,ПІЦА ЗІ СТОЛИЦІ Софіївська Борщагівка,50.42471,30.36631,3.0,Kyiv,ua
173040,Salateira Гната Хоткевича,50.45493,30.63567,3.0,Kyiv,ua
60864,XA food Петра Сагайдачного,50.46246,30.518996,3.0,Kyiv,ua
67249,Pizza Bella Napoli Велика Васильківська,50.431523,30.515631,3.0,Kyiv,ua
68284,Umami Sushi Квітки-Основʼяненка,49.990014,36.231519,3.0,Kharkiv,ua
96859,Смак дому,50.443621,30.496194,3.0,Kyiv,ua
52802,Sushi Family Донецьке шосе,48.510621,34.99139,3.0,Dnipro,ua
71774,Супчик Салатик генерала Пушкіна,48.4372,35.03273,3.0,Dnipro,ua
87605,Tasty Greens Правди,50.503708,30.417168,3.0,Kyiv,ua
98397,Hesburger вул. Здолбунівська,50.41119,30.6064,3.0,Kyiv,ua
32440,Lviv Croissants Смаль-Стоцького,49.834405,23.995041,3.0,Lviv,ua
52454,Панда їсть бамбук Вернадського,50.462541,30.374466,9.0,Kyiv,ua
89540,Київська шаурма №1 вул. Дорогожицька 15,50.469894,30.44506,3.0,Kyiv,ua
91934,Bufet пр-т Героїв Харкова,49.95678,36.36134,3.0,Kharkiv,ua
155221,Remeslo Brewery Ювілейний,49.99699,36.34143,3.0,Kharkiv,ua
195359,BUDUSUSHI Семена Палія,46.584336,30.801123,3.0,Odesa,ua
96604,WeSushi вул. В.Великого,48.92247,24.70141,3.0,Ivano-Frankivsk,ua
25402,Greenbar cafe Миколайчука,50.43508,30.60643,3.0,Kyiv,ua
50951,Streets Миколайчука,50.43508,30.60643,9.0,Kyiv,ua
82770,Хата Багата Костянтинівська,50.465063,30.515156,3.0,Kyiv,ua
96858,Сніданок мріЇ,50.443905,30.495863,3.0,Kyiv,ua
137740,DOMINO’S PIZZA вул. Київська,50.255866,28.659784,10.0,Zhytomyr,ua
173039,Salateira вул.Берковецька,50.49611,30.35855,3.0,Kyiv,ua
39718,"Мамо, я в шапці Васильківська",50.39381,30.49071,3.0,Kyiv,ua
55863,Ma Food Васильківська,50.382659,30.476729,3.0,Kyiv,ua
154162,Don Peperon Марини  Цвєтаєвої,50.52269,30.61042,4.0,Kyiv,ua
154166,Don Peperon Драгоманова,50.413874,30.635723,4.0,Kyiv,ua
173718,ТЕРІЯКИ ХАУС Академіка Янгеля,50.447262,30.453185,4.0,Kyiv,ua
25342,Lviv Croissants ТРЦ Оазис,50.522621,30.498857,3.0,Kyiv,ua
36504,Sushi Family Міхновського,48.526747,35.024658,3.0,Dnipro,ua
